[262]	validate-mlogloss:0.12800	train-mlogloss:0.01265
[263]	validate-mlogloss:0.12815	train-mlogloss:0.01263
[264]	validate-mlogloss:0.12798	train-mlogloss:0.01263
[265]	validate-mlogloss:0.12790	train-mlogloss:0.01263
[266]	validate-mlogloss:0.12783	train-mlogloss:0.01264
[267]	validate-mlogloss:0.12819	train-mlogloss:0.01259
[268]	validate-mlogloss:0.12825	train-mlogloss:0.01259
[269]	validate-mlogloss:0.12829	train-mlogloss:0.01259
[270]	validate-mlogloss:0.12836	train-mlogloss:0.01259
[271]	validate-mlogloss:0.12868	train-mlogloss:0.01256
[272]	validate-mlogloss:0.12885	train-mlogloss:0.01255
[273]	validate-mlogloss:0.12881	train-mlogloss:0.01255
[274]	validate-mlogloss:0.12884	train-mlogloss:0.01255
[275]	validate-mlogloss:0.12897	train-mlogloss:0.01255
[276]	validate-mlogloss:0.12903	train-mlogloss:0.01254
[277]	validate-mlogloss:0.12914	train-mlogloss:0.01254
[278]	validate-mlogloss:0.12925	train-mlogloss:0.01254
[279]	validate-mlogloss:0.12917	train-mlogloss:0.01254
[280]	validate-mlogloss:0.12930	train-mlogloss:0.01254
[281]	validate-mlogloss:0.12930	train-mlogloss:0.01254
[282]	validate-mlogloss:0.12930	train-mlogloss:0.01254
[283]	validate-mlogloss:0.12972	train-mlogloss:0.01250
[284]	validate-mlogloss:0.12966	train-mlogloss:0.01250
[285]	validate-mlogloss:0.12969	train-mlogloss:0.01250
[286]	validate-mlogloss:0.12987	train-mlogloss:0.01243
[287]	validate-mlogloss:0.12958	train-mlogloss:0.01240
[288]	validate-mlogloss:0.12985	train-mlogloss:0.01237
[289]	validate-mlogloss:0.12972	train-mlogloss:0.01236
[290]	validate-mlogloss:0.12958	train-mlogloss:0.01236
[291]	validate-mlogloss:0.12942	train-mlogloss:0.01233
[292]	validate-mlogloss:0.12967	train-mlogloss:0.01228
[293]	validate-mlogloss:0.12954	train-mlogloss:0.01228
[294]	validate-mlogloss:0.12962	train-mlogloss:0.01225
[295]	validate-mlogloss:0.12971	train-mlogloss:0.01221
[296]	validate-mlogloss:0.13003	train-mlogloss:0.01218
[297]	validate-mlogloss:0.13003	train-mlogloss:0.01213
[298]	validate-mlogloss:0.12985	train-mlogloss:0.01211
[299]	validate-mlogloss:0.12999	train-mlogloss:0.01211
[300]	validate-mlogloss:0.13008	train-mlogloss:0.01211
[301]	validate-mlogloss:0.13040	train-mlogloss:0.01207
[302]	validate-mlogloss:0.13050	train-mlogloss:0.01204
[303]	validate-mlogloss:0.13035	train-mlogloss:0.01204
[304]	validate-mlogloss:0.13029	train-mlogloss:0.01204
